product name,sales price,off
SanDisk Ultra Dual Drive M3.0 32 GB OTG Drive,529,800
Sandisk Cruzer Blade 32 GB,399,600
SanDisk Ultra USB3.0 32 GB Pen Drive,449,700
HP 64GB USB v220w Pen Drive 64 GB Pen Drive,505,1186
Sandisk Cruzer Blade 16 GB Utility Pendrive,269,400
Sony USM32GR/B3 IN 31302148 32 GB Pen Drive,419,660
SanDisk SDDD3-032G-I35GW 32 GB OTG Drive,549,800
SanDisk SDDD3-064G-I35GW 64 GB OTG Drive,899,1450
Sony USM32BA2//USM32BA2/S IN 32 OTG Drive,579,1090
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Drive,699,1200
Sony USM64BA2S// USM64BA2/S IN 31302156 64 OTG Drive,899,1790
HP MM-OTG032GB-02P 32 GB Pen Drive,629,1200
HP V152W 32 GB Pen Drive,399,700
HP 64GB Pen Drive 64 GB Pen Drive,505,1172
SanDisk Ultra Dual SDDD3-128G-G46/SDDD3-128G-i35 128 GB OTG Drive,1609,2800
Sony Micro Vault Tiny 32 GB Pen Drive,419,660
HP X740W 32 GB Metal Pendrive USB 3.0 Flash Drive (Silver) 32 GB Pen Drive,569,1100
HP V152W 16 GB Pen Drive,299,450
HP v-215-b 32 GB Pen Drive,385,799
Flipkart SmartBuy Bolt Series USB 2.0 32 GB Pen Drive,378,1049
SanDisk SDCZ48-064G-135/I35 64 GB Pen Drive,799,1350
Sandisk Cruzer Blade USB Utility Pendrive 8 GB,249,375
Sony USM64GR/W3//USM64GR/W2 64 GB Pen Drive,719,1400
HP Pen Drive 64 GB Pen Drive,505,1199
Kingston DTIG4 USB 3.0| 32 GB Pen Drive,475,700
HP HP-16GB-V301W 16 GB Pen Drive,299,500
Kingston Data Traveler SWIVL 16 GB Pen Drive,301,599
Kingston DTSWIVL/64GBIN 64 GB Pen Drive,675,0
SanDisk Ultra Dual SDDD3-016G-I35 16 GB OTG Drive,418,680
HP 220W 64GB 64 GB Pen Drive,510,1299
Kingston DataTraveler SE9 16 GB Pen Drive,360,499
SanDisk Cruzer Blade 16GB USB 2.0 Pendrive 16 GB Pen Drive,286,570
HP V236W 32 GB Pen Drive,466,799
Flipkart SmartBuy Bolt Series USB 2.0 16 GB Pen Drive,339,599
HP V-220 W 16 GB Utility Pendrive,310,750
Toshiba TransMemory - U202 32 GB Pen Drive,448,800
HP v150w 32 GB Pen Drive,399,700
SanDisk SDSQBNN-032G-G031N 32 GB Pen Drive,370,499
Kingston DTIG4 USB 3.0| 16 GB Pen Drive,324,500
HP 215W 64 GB Pen Drive,529,1099
Toshiba U303 16 GB Pen Drive,355,650
SanDisk Ultra Dual Drive 3.0 OTG 64 GB Pen Drive,985,1699
Kingston DTSWIVL/32GBIN 32 GB Pen Drive,500,599
HP 64GB USB v220w Pen Drive 64 GB Pen Drive,505,1186
SanDisk SDDD3 16GB USB 3.0 BLACK 16 GB OTG Drive,399,699
SanDisk Combo of 16 GB Pen Drive 16 GB Pen Drive,462,1099
Sony USM32MX3/N//USM32MX3/N IN 32 Pen Drive,529,950
Flipkart SmartBuy Bolt Series USB 3.0 32 GB Pen Drive,500,1149
Kingston DTIG4 USB 3.0| 16 GB Pen Drive,339,699
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Drive,699,1200
Kingston USB-3.1/3.0/2.0 Data Traveler 50 16 GB Pen Drive,335,691
Sony BA2 USB 3.1 OTG 32 GB Pen Drive,724,1299
Toshiba USB Flash Drive 16 GB Pen Drive,300,650
HP 220W 64GB 64 GB Pen Drive,510,1299
HP USB 2.0 Utility PendriveV-220 8 GB Pen Drive,331,587
HP V215B 16 GB Pen Drive,330,499
HP V150w 32 GB Pen Drive,505,599
Kingston DTSWIVL 3.1/3.0/2.0 16GB 16 GB Pen Drive,304,599
HP 64GB Pen Drive 64 GB Pen Drive,505,1172
HP 285w 64 GB Pen Drive,685,1199
Sony USM16GR/B2//USM16GR/BZ//USM16GR/B3 16 GB Pen Drive,279,450
SanDisk 16GB Ultra Fit USB 3.1 Flash Drive 16 GB Pen Drive,350,599
HP v302m OTG 32 GB Pen Drive,679,1099
HP 215W 64 GB Pen Drive,529,1099
SanDisk CRUZER BLADE USB FLASH DRIVE COMBO OF 2 32 GB Pen Drive,680,1199
SanDisk Curzer Blade USb Flash Drive 32 GB Pen Drive,402,699
Sony USM64GR 64 GB Pen Drive,870,1600
SanDisk Dual Drive| M3.0 16 GB Pen Drive,410,899
SanDisk SDCZ50-128G-B35 128 GB Pen Drive,1599,2199
HP x715wx 64 GB Pen Drive,699,1299
Kingston DTDUO3/16GBIN 16 GB OTG Drive,429,900
Toshiba U203 64 GB Pen Drive,848,1500
SanDisk Combo 16 GB + 16GB Cruzer Blade USB Flash Drives 16 GB Pen Drive,594,800
HP V-285Wx 64 GB Pen Drive,675,1599
SanDisk Pendrive 32 GB 32 Pen Drive,381,900
HP Combo of 2Pcs 16 GB Pen Drive,645,1299
Sandisk Cruzer Force 32 GB Pen Drive,510,900
Sony 32 GB OTG MICRO USB PENDRIVE WITH ULTRA FAST 3.1 Gen 32 GB OTG Drive,705,1295
HP V220 16 GB Pen Drive,324,699
SanDisk Cruzer Blade 64 GB Pen Drive,633,1299
SanDisk Ultra Fit USB 3.1 Flash Drive 15X Faster 32 GB Pen Drive,556,800
HP X740W 16 GB Metal Pendrive USB 3.0 Flash Drive 16 GB Pen Drive,449,750
SanDisk Dual 3.0 OTG + Cruzer Blade Flash Drive Usb 16 GB Pen Drive,775,1440
HP 64GB USB v220w Pen Drive 64 GB Pen Drive,505,1186
SanDisk Ultra flair 3.0 USB Flash Drive speed up to 150 MB/s 64 GB Pen Drive,1160,1350
HP Pen Drive 64 GB Pen Drive,505,1199
SanDisk Cruzer Blade 16 GB (RED & BLACK) 16 GB Pen Drive,284,399
Kingston Data Traveler 3.0 MicroDuo 64 GB OTG Drive,964,2050
SanDisk SDCZ50-016G-I35 16 GB Pen Drive,899,1599
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Drive,699,1200
Kingston DataTraveler 50 16 GB Pen Drive,305,500
Kingston DT50 DataTraveler 50 - 16GB Pendrive - USB 3.1/3.0/2.0 16 GB Pen Drive,302,600
Sony USM16MX 16 GB Pen Drive,398,699
HP 285w 64 GB Pen Drive,685,1199
SanDisk 8GB Pendrive for Laptop and Desktop 8 GB Pen Drive,298,399
HP V215b USB Flash Drive - Pendrive 16GB - USB 2.0 16 GB Pen Drive,349,799
SanDisk SDCZ48-016G-135 / I35 16 GB Pen Drive,329,450
SanDisk Ultra Dual Drive 3.0 OTG 16 GB Pen Drive,410,599
Kingston DT50 32GB 32 GB Pen Drive,475,900
HP 220W 64GB 64 GB Pen Drive,510,1299
SanDisk SDCZ73 64 GB Pen Drive,1025,1800
Toshiba TransMemory 16GB USB FLASH DRIVE,329,550
Strontium Ammo USB Flash Drive 16 GB Pen Drive,435,650
Flipkart SmartBuy Bolt Series USB 2.0 32 GB Pen Drive,378,1049
Capitel Mercedes Key 8 GB Pen Drive,799,899
HP 32 GB METTAL PENDRIVE 32 GB Pen Drive,425,950
SanDisk Sandisk 16gb Cruzer Blade Pen Drive Pack Of 5 16 GB Pen Drive,1349,2500
Sony USM64GR 64 GB Pen Drive,1009,1499
Sony USM 32 GB Pen Drive,658,1099
Flipkart SmartBuy Bolt Series USB 3.0 32 GB Pen Drive,500,1149
Toshiba U301 32 GB Pen Drive,497,699
Toshiba THN-U203W0160A4 16 GB Pen Drive,337,600
SanDisk Ultra Fit USB 3.1 16 GB Pen Drive,405,600
HP 215W 64 GB Pen Drive,529,1099
SanDisk PANDRIVE 16 GB Pen Drive,277,560
SanDisk ULTRA FIT 3.1 64 GB 64 GB Pen Drive,1015,1699
Kingston DTDUO3/32GBIN 32 GB OTG Drive,785,1450
Kingston SWIVL 64 GB Pen Drive,895,1500
Sony USM16GR/W3 16 GB Pen Drive,350,675
HP x715wx 64 GB Pen Drive,699,1299
Kingston DT104/16GB 16 GB Pen Drive,318,599
Strontium Ammo 3.1 32 GB USB Flsh Drive 32 GB Pen Drive,730,1100
HP V220W 8 GB Pen Drive,329,599
HP 64GB USB v220w Pen Drive 64 GB Pen Drive,505,1186
SanDisk Cruzer Blade USB Flash Drive CZ50 16 GB Pen Drive,290,499
Sony USB 64 GB Pen Drive,890,1400
Kingston USB Flash Drive DataTraveler 32 GB Pen Drive,480,799
HP V220W-V215B 8 GB Pen Drive,580,999
Kingston DTSE9 USB Flash Drive 32 GB Pen Drive,479,725
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Drive,699,1200
HP V237W 16 GB Pen Drive,399,500
HP X302M 32 OTG Drive,681,1099
HP X765W 64 GB Pen Drive,1285,2300
HP Pen Drive 64 GB Pen Drive,505,1199
Toshiba 32 GB Pen Drive,475,699
Tobo Silicon Wrist band USB 2.0 Bracelet USB Flash Drive Pen Drive. 32 Pen Drive,999,1999
Quace Panda 32 GB Pen Drive,650,1500
HP MM-OTG016GB-02P 16 GB Pen Drive,499,800
SanDisk Dual USB 3.0 32 GB OTG Drive,595,800
HP 220W 64GB 64 GB Pen Drive,510,1299
Toshiba USB 2.0 U-202 32 GB Pen Drive,825,1500
Toshiba USB 2.0 U-202 16 GB Pen Drive,300,550
HP 8GB V215 PENDRIVE 8 GB Pen Drive,325,698
HP 285w 64 GB Pen Drive,685,1199
Sony USB Flash Drive USM16GR (Pack OF 2) 16 GB Pen Drive,685,999
SanDisk Cruzer Blade Pack of 2 16 GB Pen Drive,532,1000
Toshiba Yamabiko 64 GB Pen Drive,999,1100
HP 16 GB METTAL PENDRIVE 16 GB Pen Drive,360,699
SanDisk SDDD3-032G-I35 32 GB OTG Drive,555,1040
Flipkart SmartBuy Bolt Series USB 2.0 32 GB Pen Drive,378,1049
Green Tree Silver Key Type Fancy USB Drive 16 Pen Drive,649,1199
SanDisk Combo Of 4 Pcs 4 GB Pen Drive,1396,1666
Sony USM128MX/S 128 GB Pen Drive,2795,3000
Flipkart SmartBuy Bolt Series USB 3.0 32 GB Pen Drive,500,1149
Sony USM32CA2 USB 3.1 Gen1 Type A & Type C Dual Drive 32 GB Pen Drive,1085,1800
SanDisk Cruzer Blade USB Flash Drive 16 GB Pen Drive,3099,6499
HP V237W 64 MB Pen Drive,1049,2300
SanDisk CRUZ BLADE 16 GB 16 GB Pen Drive,295,599
SanDisk Ultra Dual m3.0 16 GB Pen Drive,428,799
HP 215W 64 GB Pen Drive,529,1099
SanDisk Cruzer Force USB Flash Drive Metal Casing - Combo of Two 16 GB Pendrives 16 GB Pen Drive,659,1180
SanDisk Cruzer Force 16 GB Pen Drive,945,1770
Sprik USB 2.0|16 GB 16 GB Pen Drive,449,699
HP 64GB USB v220w Pen Drive 64 GB Pen Drive,505,1186
SanDisk UltraFit USB 3.1 Flash Drive 32 GB Pen Drive,556,999
SanDisk SDDDC1-032G-I35 32 GB OTG Drive,699,850
Sony USB FLASH DRIVE 16 GB Pen Drive,330,599
Strontium Ammo (Pack of 2) 16 GB Pen Drive,625,1140
SanDisk 2.0 Cruzer combo 16 GB Pen Drive,1500,2500
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Drive,699,1200
Toshiba USB 2.0 U202 16 GB Pen Drive,310,550
HP V232W 16 GB Pen Drive,407,899
Green Tree Wooden Guitar key Chain with Box 32 GB Pen Drive,799,1999
HP Pen Drive 64 GB Pen Drive,505,1199
Strontium 32GB NITRO ON-THE-GO (OTG) USB 3.0 FLASH DRIVE 32 GB OTG Drive,639,1690
Quace Heart 32 GB Pen Drive,799,1400
Kingston DTSE9H 16 GB Pen Drive,309,499
Dinosaur Drivers Thunder Batman 16 GB Pen Drive,799,1099
Pankreeti PKT480 Captain America 16 GB Pen Drive,570,999
HP 285w 64 GB Pen Drive,685,1199
Zeztee dpdz-102 16 GB Pen Drive,799,1099
SanDisk Ultra Usb 3.0 Flash Drive (Pack OF 2) 16 GB Pen Drive,725,900
HP V220W-16 16 GB Pen Drive,323,749
HP 220W 64GB 64 GB Pen Drive,510,1299
SanDisk Dual Drive m3.0 32 GB OTG Drive,572,1099
HP V220W 8 GB Pen Drive,615,1099
SanDisk 16 GB 3.0 OTG Pendrive 16 Pen Drive,410,699
Sony USB Flash Drive USM32GR (Pack Of 2) 32 GB Pen Drive,965,1320
SanDisk Cruzer Blade 16 GB Pen Drive,292,570
Flipkart SmartBuy Bolt Series USB 2.0 32 GB Pen Drive,378,1049
Dinosaur Drivers Spiderman 16 GB Pen Drive,799,1099
SanDisk Ultra 3.0 16 GB Pen Drive,1155,2019
Dinosaur Drivers Smurfs 16 GB Pen Drive,799,1099
Flipkart SmartBuy Bolt Series USB 3.0 32 GB Pen Drive,500,1149
SanDisk 16GB OTG Dual Drive 16 GB Pen Drive,406,620
SanDisk Otg Pendrive 32 GB OTG Drive,550,1050
Sony Micro Vault USB Flash Drive - Pendrive 16GB Metal USM16MX/S- USB 2.0 16 GB Pen Drive,399,799
Digitalk Solution Fancy Key Shaped Metal 32 GB Pen Drive,949,1299
HP v220w 16 GB Pen Drive,320,749
HP 215W 64 GB Pen Drive,529,1099
Dinosaur Drivers Miffy Red 16 GB Pen Drive,799,899
Dinosaur Drivers Sponge Bob 16 GB Pen Drive,799,899
SanDisk Otg Pendrive 32 GB OTG Drive,550,1050
HP 64GB USB v220w Pen Drive 64 GB Pen Drive,505,1186
Quace Winnie the Pooh 16 GB Pen Drive,599,1290
Microware Blue Angry Bird Shape 16 GB Pendrive,699,1099
SanDisk Cruzer Blade USB Flash Drive (BLACK & RED) - 3pc 16 GB Pen Drive,834,1599
SanDisk Dual Drive USB 2.0 16 GB OTG Drive,412,799
Dinosaur Drivers Jerry Cute 16 GB Pen Drive,799,1299
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Drive,699,1200
HP V215b Set Of 2 16 GB Pen Drive,599,1399
Dinosaur Drivers Minion 8 GB Pen Drive,749,999
Kingston DTSE9 DataTraveler SE9 - 16GB Pendrive - USB 2.0 16 GB Pen Drive,315,650
HP Pen Drive 64 GB Pen Drive,505,1199
Sony OTG MICRO USB 3.1 32 GB OTG Drive,739,1000
Dinosaur Drivers Ganesha 8 GB Pen Drive,749,999
SanDisk Cruzer Blade Pack of 6 32 GB Pen Drive,2849,5740
SanDisk Cruzer Blade Fancy New 32 GB Pen Drive,1799,3499
Kingston DTDUO3C/32GBIN 32 GB OTG Drive,955,1600
HP 285w 64 GB Pen Drive,685,1199
Dinosaur Drivers Superman 8 GB Pen Drive,799,0
Dinosaur Drivers Fire Extinguisher 16 GB Pen Drive,799,899
Dinosaur Drivers Red Angry Bird 16 GB Pen Drive,799,1099
Flipkart SmartBuy Bolt Series USB 2.0 32 GB Pen Drive,378,1049
HP V236w 16 GB Pen Drive,374,699
Dinosaur Drivers Ganesha 16 GB Pen Drive,799,999
Dinosaur Drivers Mickey Pink 16 GB Pen Drive,799,999
Dinosaur Drivers God Ganesha 8 GB Pen Drive,799,833
Dinosaur Drivers Fire Extinguisher 8 GB Pen Drive,799,999
HP 220W 64GB 64 GB Pen Drive,510,1299
SanDisk Cruzer Blade 16GB USB 2.0 Pendrive ( Pack of 2 ) 16 GB Pen Drive,545,1180
HP X740W 16 GB Pen Drive,469,799
Kingston DataTraveler SWIVL USB 3.1 128 GB Pen Drive,1799,3000
Flipkart SmartBuy Bolt Series USB 3.0 32 GB Pen Drive,500,1149
SanDisk ULTRA USB 3.0 64 Pen Drive,1195,1350
SanDisk SDCZ430-064G-I35 64 GB Pen Drive,1080,1799
Dinosaur Drivers Mickey 16 GB Pen Drive,799,1299
Dinosaur Drivers Bag 16 GB Pen Drive,799,999
Dinosaur Drivers Cute Tom 16 GB Pen Drive,799,1299
HP 215W 64 GB Pen Drive,529,1099
Dinosaur Drivers Batman DD 16 GB Pen Drive,699,1099
Dinosaur Drivers Nice Batman 16 GB Pen Drive,799,1099
Dinosaur Drivers Jerry Cute 8 GB Pen Drive,799,999
HP 64GB USB v220w Pen Drive 64 GB Pen Drive,505,1186
Storme Superman 8 GB Pen Drive,499,0
Storme Captain America 16 GB Pen Drive,650,799
Kingston USB 3.0 Data Traveler 50- 64 GB Pen Drive,970,1500
SanDisk Cruzer Force (Pack Of 2) 32 GB Pen Drive,957,2067
Genuine Cruzer Blade 16 GB Pen Drive,450,0
SanDisk SDCZ50-064g-I35 /SDCZ50-064g-B35 64 GB Pen Drive,699,1200
Strontium Ammo 3.1 16 GB Pen Drive,517,1199
Zeztee dpdz-104 16 GB Pen Drive,799,1299
SanDisk sandisk pendrive 16GB 3.0 16 GB Pen Drive,740,999
HP Pen Drive 64 GB Pen Drive,505,1199
Dinosaur Drivers Doraemon New 16 GB Pen Drive,799,999
Dinosaur Drivers Blind Man Shape 8 GB Pen Drive,799,0
Dinosaur Drivers Chappal Blue 8 GB Pen Drive,799,899
Toshiba U301 16 GB Pen Drive,423,529
Dinosaur Drivers Bag 8 GB Pen Drive,749,799
HP 285w 64 GB Pen Drive,685,1199
HP V236V USB Metal Flash Drive - Pack of 2 Pendrive 16GB -USB 2.0 16 GB Pen Drive,746,1400
DARK EDGE Cartoon Tom and Jerry 16 GB Pen Drive Pack of 2 Pen Drive Combo 16 GB Pen Drive,899,1999
Strontium Ammo 8 GB Pen Drive,385,599
HP 220W 64GB 64 GB Pen Drive,510,1299
Toshiba USB 2.0 U-202 16 GB Pen Drive,602,1199
Sandisk Cruzer Force 8 GB Pen Drive,369,499
Ridata Cube 16 GB Pen Drive,219,699
HP V220W 16 GB Pen Drive,349,800
Kingston Data Traveler 100 G3 32 GB Pen Drive,895,1300
Flipkart SmartBuy Bolt Series USB 2.0 32 GB Pen Drive,378,1049
Sony USB Flash Drive White 16 GB Pen Drive,350,699
Dinosaur Drivers Ganesha Shape 8 GB Pen Drive,799,0
Dinosaur Drivers Standing Pooh Shape 8 GB Pen Drive,799,0
Flipkart SmartBuy Bolt Series USB 3.0 32 GB Pen Drive,500,1149
Dinosaur Drivers Smurfs Standing Shape 8 GB Pen Drive,799,0
Storme Batman 16 GB Pen Drive,599,799
Dinosaur Drivers Chappal Blue 16 GB Pen Drive,799,1099
Zeztee Duck Cartoon Character Shape 16 GB Pen Drive,699,1099
HP X765W USB 3.0 16 GB Pen Drive,487,599
HP 215W 64 GB Pen Drive,529,1099
